measure,location,sex,age,metric,year,val,upper,lower
Life expectancy,European Region,Both,0-6 days,Years,2016,77.48002473614163,77.58728102815091,77.3685621516644
Life expectancy,European Region,Both,0-6 days,Years,2017,77.80023435087266,77.92701045862084,77.66344974991172
Life expectancy,European Region,Both,0-6 days,Years,2018,77.94452634609642,78.09058640562411,77.77861425378067
Life expectancy,European Region,Both,0-6 days,Years,2019,78.18399011903054,78.37389242834537,77.9885082167188
Life expectancy,European Region,Both,0-6 days,Years,2020,76.99383064449061,77.2013774717949,76.77837653637232
Life expectancy,European Region,Both,0-6 days,Years,2021,76.34838241053573,76.60886197851666,76.07132445769282
Life expectancy,WHO region,Both,75-79 years,Years,2010,10.321244818556366,10.416551684751255,10.218690199358958
Life expectancy,WHO region,Both,75-79 years,Years,2011,10.41970181205586,10.521146274962486,10.312006648623585
Life expectancy,WHO region,Both,75-79 years,Years,2012,10.5332150225351,10.6379461959582,10.422901843187342
Life expectancy,WHO region,Both,75-79 years,Years,2013,10.537776583165073,10.640239100452726,10.421120833394797
Life expectancy,WHO region,Both,75-79 years,Years,2014,10.550335502409892,10.669458319956737,10.424759330492902
Life expectancy,WHO region,Both,75-79 years,Years,2015,10.652578671698164,10.78615614161437,10.513220753827717
Life expectancy,WHO region,Both,75-79 years,Years,2016,10.73116150815055,10.8850171726319,10.579783642047866
Life expectancy,WHO region,Both,75-79 years,Years,2017,10.806981920980025,10.962938978776853,10.64616331089632
Life expectancy,WHO region,Both,75-79 years,Years,2018,10.878314292445204,11.058954606579372,10.681914411901198
Life expectancy,WHO region,Both,75-79 years,Years,2019,10.936057137456473,11.127827007508692,10.72499268056037
Life expectancy,WHO region,Both,75-79 years,Years,2020,10.422392715087327,10.620924875346299,10.218667200923527
Life expectancy,WHO region,Both,75-79 years,Years,2021,10.137229069420554,10.346975275256234,9.917756031129263
Life expectancy,WHO region,Both,80-84 years,Years,2010,7.795844961932436,7.86494238019758,7.724133612543227
Life expectancy,WHO region,Both,80-84 years,Years,2011,7.873017304071599,7.944998766801419,7.798803619948597
Life expectancy,WHO region,Both,80-84 years,Years,2012,7.960881960445416,8.035070329413761,7.883123960435513
Life expectancy,WHO region,Both,80-84 years,Years,2013,7.925943821403876,7.9998917826478975,7.845282062483628
Life expectancy,WHO region,Both,80-84 years,Years,2014,7.9037233017424935,7.98979872757517,7.813905723396449
Life expectancy,WHO region,Both,80-84 years,Years,2015,7.990901034855927,8.089439032673459,7.888305720792697
Life expectancy,WHO region,Both,80-84 years,Years,2016,8.060892511776267,8.175696721567748,7.950884885055371
Life expectancy,WHO region,Both,80-84 years,Years,2017,8.126141330801522,8.242238671213244,8.002016018413544
Life expectancy,WHO region,Both,80-84 years,Years,2018,8.1971350297431,8.335650809506093,8.048530966587105
Life expectancy,WHO region,Both,80-84 years,Years,2019,8.251623852279186,8.397319174752944,8.088109064625314
Life expectancy,WHO region,Both,80-84 years,Years,2020,7.8278204825792805,7.98096303105246,7.6722697432651445
Life expectancy,WHO region,Both,80-84 years,Years,2021,7.609743526512884,7.7736291292660455,7.445569147504083
Life expectancy,WHO region,Both,85-89 years,Years,2010,5.798078008160338,5.845813761057529,5.74959633662182
Life expectancy,WHO region,Both,85-89 years,Years,2011,5.854962385378135,5.905010833666424,5.8031697852024635
Life expectancy,WHO region,Both,85-89 years,Years,2012,5.906338782584366,5.959084884140194,5.853948104458525
Life expectancy,WHO region,Both,85-89 years,Years,2013,5.8507623889980644,5.900671101902959,5.797949498272712
Life expectancy,WHO region,Both,85-89 years,Years,2014,5.824325584662165,5.881697915513755,5.763481691076576
Life expectancy,WHO region,Both,85-89 years,Years,2015,5.8786696594984935,5.946455824247624,5.80967026559641
Life expectancy,WHO region,Both,85-89 years,Years,2016,5.927725807764897,6.005448057679597,5.8522806817716155
Life expectancy,WHO region,Both,85-89 years,Years,2017,5.978125214405112,6.057777388187458,5.89013399621531
Life expectancy,WHO region,Both,85-89 years,Years,2018,6.042020101397559,6.140005367274962,5.93327230867724
Life expectancy,WHO region,Both,85-89 years,Years,2019,6.080111523268007,6.190693785701855,5.957824328107962
Life expectancy,WHO region,Both,85-89 years,Years,2020,5.7409553864930345,5.85100937737488,5.623087819032558
Life expectancy,WHO region,Both,85-89 years,Years,2021,5.596850347592662,5.718134599447626,5.479653598261506
Life expectancy,WHO region,Both,90-94 years,Years,2010,4.352181624106398,4.383692803228181,4.318847878564874
Life expectancy,WHO region,Both,90-94 years,Years,2011,4.386143639571175,4.419286956006453,4.351923226290009
Life expectancy,WHO region,Both,90-94 years,Years,2012,4.416629271037352,4.4494061639312665,4.3823510210067464
Life expectancy,WHO region,Both,90-94 years,Years,2013,4.357674909376259,4.390904270894495,4.3224767009957255
Life expectancy,WHO region,Both,90-94 years,Years,2014,4.331344460691052,4.369917207789448,4.290572969383723
Life expectancy,WHO region,Both,90-94 years,Years,2015,4.376614589414361,4.422658001347707,4.330075629089682
Life expectancy,WHO region,Both,90-94 years,Years,2016,4.420195693759965,4.473888558193248,4.367516400994964
Life expectancy,WHO region,Both,90-94 years,Years,2017,4.450618231244849,4.506466656901312,4.388602887467449
Life expectancy,WHO region,Both,90-94 years,Years,2018,4.492402363141037,4.559905952851918,4.418030950576335
Life expectancy,WHO region,Both,90-94 years,Years,2019,4.523351887218464,4.599214714648268,4.437869545617856
Life expectancy,WHO region,Both,90-94 years,Years,2020,4.244064092104485,4.319166746856971,4.161960220198651
Life expectancy,WHO region,Both,90-94 years,Years,2021,4.141074699791315,4.2271585750925755,4.0550374544800745
Life expectancy,WHO region,Both,2-4 years,Years,2010,71.72856643445955,72.03962835544515,71.38816721950978
Life expectancy,WHO region,Both,2-4 years,Years,2011,72.04618851943313,72.3798967831963,71.71435641868656
Life expectancy,WHO region,Both,2-4 years,Years,2012,72.38022844743345,72.73896029469884,72.02841396494769
Life expectancy,WHO region,Both,2-4 years,Years,2013,72.63203710934471,72.95592663677071,72.27683660192501
Life expectancy,WHO region,Both,2-4 years,Years,2014,72.83689224337668,73.21006462935998,72.45680408082781
Life expectancy,WHO region,Both,2-4 years,Years,2015,73.05460285281063,73.46817418192067,72.63758497193753
Life expectancy,WHO region,Both,2-4 years,Years,2016,73.23017485161517,73.64708745305035,72.77570665823838
Life expectancy,WHO region,Both,2-4 years,Years,2017,73.4305205134175,73.86690584871647,72.97209125096809
Life expectancy,WHO region,Both,2-4 years,Years,2018,73.61838907039487,74.09954092054248,73.14070059324402
Life expectancy,WHO region,Both,2-4 years,Years,2019,73.8099330151705,74.27629237670241,73.24370264715196
Life expectancy,WHO region,Both,2-4 years,Years,2020,72.72737376299966,73.23449451620134,72.17356734018938
Life expectancy,WHO region,Both,2-4 years,Years,2021,71.97509834021116,72.53348606167894,71.41404011098507
Life expectancy,WHO region,Both,95+ years,Years,2010,3.4879862518116234,3.5106054875971946,3.464196052806224
Life expectancy,WHO region,Both,95+ years,Years,2011,3.512613065298645,3.537053986501012,3.4884207922282284
Life expectancy,WHO region,Both,95+ years,Years,2012,3.542943773971452,3.5657125782641312,3.5210927799649725
Life expectancy,WHO region,Both,95+ years,Years,2013,3.500886085132883,3.5253865017698307,3.474138656280326
Life expectancy,WHO region,Both,95+ years,Years,2014,3.471127841518953,3.5017037979284034,3.4407129858183425
Life expectancy,WHO region,Both,95+ years,Years,2015,3.5034467077751446,3.536947459820764,3.4706674978849374
Life expectancy,WHO region,Both,95+ years,Years,2016,3.5222323317786857,3.558998276128751,3.4816813978599064
Life expectancy,WHO region,Both,95+ years,Years,2017,3.5032268096580252,3.5463717365125738,3.454042301021731
Life expectancy,WHO region,Both,95+ years,Years,2018,3.5131539963858094,3.5641917895429587,3.457599433611568
Life expectancy,WHO region,Both,95+ years,Years,2019,3.5448198835054376,3.605311950603222,3.479676721698924
Life expectancy,WHO region,Both,95+ years,Years,2020,3.366267746558146,3.4257781878556126,3.3014171455497476
Life expectancy,WHO region,Both,95+ years,Years,2021,3.329229555737411,3.4010948769549474,3.255431626102365
Life expectancy,WHO region,Both,12-23 months,Years,2010,72.26432180631284,72.60639233066088,71.90311107298521
Life expectancy,WHO region,Both,12-23 months,Years,2011,72.59628966818275,72.95549244215378,72.2308902018805
Life expectancy,WHO region,Both,12-23 months,Years,2012,72.95529692787002,73.33815069116157,72.56376408935105
Life expectancy,WHO region,Both,12-23 months,Years,2013,73.22517391371017,73.57792751296962,72.84807378484226
Life expectancy,WHO region,Both,12-23 months,Years,2014,73.44830774720903,73.85552816328224,73.04074274098704
Life expectancy,WHO region,Both,12-23 months,Years,2015,73.68162553005864,74.12193481128216,73.23456227604478
Life expectancy,WHO region,Both,12-23 months,Years,2016,73.87456685974301,74.31262633997385,73.41073384577457
Life expectancy,WHO region,Both,12-23 months,Years,2017,74.09355931292394,74.55100900916594,73.5971252952607
Life expectancy,WHO region,Both,12-23 months,Years,2018,74.29645486486353,74.81117906734664,73.79686442838555
Life expectancy,WHO region,Both,12-23 months,Years,2019,74.49876877766772,74.99482906163801,73.91143772860028
Life expectancy,WHO region,Both,12-23 months,Years,2020,73.43710013253002,73.97961400442364,72.82899634196238
Life expectancy,WHO region,Both,12-23 months,Years,2021,72.697604141969,73.29389748117252,72.09671879103162
Life expectancy,WHO region,Both,1-5 months,Years,2010,72.01181712729415,72.40608650455361,71.61025540142887
Life expectancy,WHO region,Both,1-5 months,Years,2011,72.37496966601475,72.77938031226343,71.96433695381234
Life expectancy,WHO region,Both,1-5 months,Years,2012,72.7765540500355,73.22142978152307,72.334112469589
Life expectancy,WHO region,Both,1-5 months,Years,2013,73.08836042773791,73.49181297465987,72.65716208947373
Life expectancy,WHO region,Both,1-5 months,Years,2014,73.34927155776116,73.8058050959945,72.8878819236793
Life expectancy,WHO region,Both,1-5 months,Years,2015,73.61885010567313,74.1276453002693,73.1135306190406
Life expectancy,WHO region,Both,1-5 months,Years,2016,73.852767379215,74.35845876782678,73.32927552845533
Life expectancy,WHO region,Both,1-5 months,Years,2017,74.1070451739774,74.64763022698585,73.52532009966309
Life expectancy,WHO region,Both,1-5 months,Years,2018,74.34001992221333,74.91096659471553,73.75949294020309
Life expectancy,WHO region,Both,1-5 months,Years,2019,74.56739464097029,75.14147715802451,73.9438205723702
Life expectancy,WHO region,Both,1-5 months,Years,2020,73.58070447021144,74.19801795606509,72.90958843797752
Life expectancy,WHO region,Both,1-5 months,Years,2021,72.87609975678903,73.51854463242857,72.19762852386545
Life expectancy,WHO region,Both,6-11 months,Years,2010,72.27030878445174,72.6517595078217,71.87420979010436
Life expectancy,WHO region,Both,6-11 months,Years,2011,72.61259818652022,73.01267342186543,72.22388621413151
Life expectancy,WHO region,Both,6-11 months,Years,2012,72.9906534415901,73.40818615242513,72.5685414366041
Life expectancy,WHO region,Both,6-11 months,Years,2013,73.27850398470348,73.65842241006388,72.8671440313005
Life expectancy,WHO region,Both,6-11 months,Years,2014,73.51713599467034,73.95419044783746,73.07255006847429
Life expectancy,WHO region,Both,6-11 months,Years,2015,73.76481126779089,74.24442934700117,73.2769958173684
Life expectancy,WHO region,Both,6-11 months,Years,2016,73.97517838264599,74.45781772118733,73.46450510060647
Life expectancy,WHO region,Both,6-11 months,Years,2017,74.21081186027854,74.70989230998075,73.64963031264341
Life expectancy,WHO region,Both,6-11 months,Years,2018,74.4267620112561,74.9735277022242,73.87559484635067
Life expectancy,WHO region,Both,6-11 months,Years,2019,74.6397611093557,75.17552329486692,74.03242482038375
Life expectancy,WHO region,Both,6-11 months,Years,2020,73.600367611587,74.18612674940957,72.94385758737053
Life expectancy,WHO region,Both,6-11 months,Years,2021,72.87552065334728,73.49786167545274,72.24388156245674
Life expectancy,European Region,Both,7-27 days,Years,2010,76.17772108505315,76.25813141126527,76.09166078809848
Life expectancy,European Region,Both,7-27 days,Years,2011,76.67677930598451,76.75668240546489,76.58915323425732
Life expectancy,European Region,Both,7-27 days,Years,2012,76.93292350771738,77.01595822973786,76.8450989899806
Life expectancy,European Region,Both,7-27 days,Years,2013,77.21772461465447,77.30456327004948,77.12756619868806
Life expectancy,European Region,Both,7-27 days,Years,2014,77.36601347287191,77.45376484340476,77.27682521223605
Life expectancy,European Region,Both,7-27 days,Years,2015,77.54062232552266,77.63028654247333,77.4529225012365
Life expectancy,European Region,Both,7-27 days,Years,2016,77.76253815788874,77.85407935784697,77.66759633047498
Life expectancy,European Region,Both,7-27 days,Years,2017,78.07388335883454,78.18879144597912,77.95490140311422
Life expectancy,European Region,Both,7-27 days,Years,2018,78.21023580187722,78.34730132374919,78.0557256818615
Life expectancy,European Region,Both,7-27 days,Years,2019,78.44511368768234,78.61900778153652,78.2595621214213
Life expectancy,European Region,Both,7-27 days,Years,2020,77.23065545227057,77.41873329528218,77.02693569872511
Life expectancy,European Region,Both,7-27 days,Years,2021,76.57551314433582,76.83167235131002,76.30672744610264
Life expectancy,European Region,Both,5-9 years,Years,2010,71.7605162528342,71.81626819417265,71.70296713781829
Life expectancy,European Region,Both,5-9 years,Years,2011,72.23907023018917,72.29493106488498,72.182241818599
Life expectancy,European Region,Both,5-9 years,Years,2012,72.4905591249188,72.54865581840703,72.42922224162196
Life expectancy,European Region,Both,5-9 years,Years,2013,72.76014951518606,72.82217422876927,72.69309542536851
Life expectancy,European Region,Both,5-9 years,Years,2014,72.89418885940336,72.95734987592353,72.82565776941777
Life expectancy,European Region,Both,5-9 years,Years,2015,73.04934122967886,73.11176927924225,72.98544195064545
Life expectancy,European Region,Both,5-9 years,Years,2016,73.25666943310792,73.32284922816902,73.19038814648741
Life expectancy,European Region,Both,5-9 years,Years,2017,73.55522171812433,73.65050246012738,73.45338675486013
Life expectancy,European Region,Both,5-9 years,Years,2018,73.68009001768417,73.809338556504,73.54310836335664
Life expectancy,European Region,Both,5-9 years,Years,2019,73.90848505762806,74.06154953832511,73.7471068144334
Life expectancy,European Region,Both,5-9 years,Years,2020,72.66038905564255,72.83016093121256,72.47467287269627
Life expectancy,European Region,Both,5-9 years,Years,2021,71.98762349544185,72.2229152521106,71.7284761408975
Life expectancy,European Region,Both,10-14 years,Years,2010,66.83690491153703,66.89276589557437,66.78133492690637
Life expectancy,European Region,Both,10-14 years,Years,2011,67.3127892317747,67.3679088083624,67.25719351057879
Life expectancy,European Region,Both,10-14 years,Years,2012,67.56306468034914,67.6208515111293,67.50363401221155
Life expectancy,European Region,Both,10-14 years,Years,2013,67.8301551984204,67.89200051491929,67.76391229959322
Life expectancy,European Region,Both,10-14 years,Years,2014,67.96298898887788,68.02583125543951,67.89519443252681
Life expectancy,European Region,Both,10-14 years,Years,2015,68.11427831629979,68.17798942060698,68.05126222973696
Life expectancy,European Region,Both,10-14 years,Years,2016,68.32051773253467,68.3861929254833,68.255295715744
Life expectancy,European Region,Both,10-14 years,Years,2017,68.61697201477556,68.71074845337834,68.51502936131295
Life expectancy,European Region,Both,10-14 years,Years,2018,68.73933147977607,68.86856067287658,68.60276715247021
Life expectancy,European Region,Both,10-14 years,Years,2019,68.9663399497812,69.11886764588058,68.80547547774205
Life expectancy,European Region,Both,10-14 years,Years,2020,67.71681686900189,67.88652806955291,67.53025825010504
Life expectancy,European Region,Both,10-14 years,Years,2021,67.04109345142538,67.27497016981373,66.78247658499812
Life expectancy,European Region,Both,15-19 years,Years,2010,61.90508113208629,61.959614255710356,61.8509334133306
Life expectancy,European Region,Both,15-19 years,Years,2011,62.378626715775,62.43217783423864,62.324152687868434
Life expectancy,European Region,Both,15-19 years,Years,2012,62.62717156574572,62.68439729624554,62.569179241243305
Life expectancy,European Region,Both,15-19 years,Years,2013,62.89290448825708,62.95423637707203,62.82766610388367
Life expectancy,European Region,Both,15-19 years,Years,2014,63.02657978724896,63.08876208224536,62.96000073076314
Life expectancy,European Region,Both,15-19 years,Years,2015,63.17649884354854,63.23825773669365,63.1148758396134
Life expectancy,European Region,Both,15-19 years,Years,2016,63.38104734650178,63.44595849628161,63.31623697472973
Life expectancy,European Region,Both,15-19 years,Years,2017,63.67528519141408,63.76796767236306,63.5741941533519
Life expectancy,European Region,Both,15-19 years,Years,2018,63.796253325888664,63.92377715992403,63.66066202256362
Life expectancy,European Region,Both,15-19 years,Years,2019,64.02124134690011,64.17290478973382,63.86083584207392
Life expectancy,European Region,Both,15-19 years,Years,2020,62.77020419738272,62.9392394877935,62.58400743995443
Life expectancy,European Region,Both,15-19 years,Years,2021,62.093808113508175,62.327093716767116,61.83607217171759
Life expectancy,European Region,Both,20-24 years,Years,2010,57.05384050125972,57.1062088291946,57.000822872836046
Life expectancy,European Region,Both,20-24 years,Years,2011,57.519874094095236,57.571116738230366,57.46723817428815
Life expectancy,European Region,Both,20-24 years,Years,2012,57.76590732604023,57.821910775874834,57.70905184142804
Life expectancy,European Region,Both,20-24 years,Years,2013,58.02736255920357,58.087028764651166,57.96428137055927
Life expectancy,European Region,Both,20-24 years,Years,2014,58.168461856492335,58.229430006398445,58.103900780930964
Life expectancy,European Region,Both,20-24 years,Years,2015,58.30762606572631,58.36796317275094,58.24763029928319
Life expectancy,European Region,Both,20-24 years,Years,2016,58.50949399054172,58.57290070789669,58.446239005140924
Life expectancy,European Region,Both,20-24 years,Years,2017,58.79549512913215,58.88684697488651,58.696811826196964
Life expectancy,European Region,Both,20-24 years,Years,2018,58.912459742864606,59.03642602831171,58.77863980851453
Life expectancy,European Region,Both,20-24 years,Years,2019,59.13386202310457,59.28354434063511,58.97504238702001
Life expectancy,European Region,Both,20-24 years,Years,2020,57.890357642296955,58.05757905046248,57.70573483815954
Life expectancy,European Region,Both,20-24 years,Years,2021,57.20471985998249,57.43661888029202,56.948170279865906
Life expectancy,European Region,Both,25-29 years,Years,2010,52.281939754205325,52.33290281405137,52.23055127191462
Life expectancy,European Region,Both,25-29 years,Years,2011,52.73616508646301,52.78604223081899,52.684888515723294
Life expectancy,European Region,Both,25-29 years,Years,2012,52.97544117247336,53.03003537120356,52.920040113213204
Life expectancy,European Region,Both,25-29 years,Years,2013,53.22763254934865,53.28581798558176,53.16643571556908
Life expectancy,European Region,Both,25-29 years,Years,2014,53.36949178283977,53.4287741606878,53.30655555562035
Life expectancy,European Region,Both,25-29 years,Years,2015,53.492489693358934,53.55149434962397,53.43404689700012
Life expectancy,European Region,Both,25-29 years,Years,2016,53.68536905385046,53.747341356085165,53.623779728508275
Life expectancy,European Region,Both,25-29 years,Years,2017,53.95963971277441,54.04877259237503,53.862941742917336
Life expectancy,European Region,Both,25-29 years,Years,2018,54.07212104828576,54.19391710903815,53.94061970310485
Life expectancy,European Region,Both,25-29 years,Years,2019,54.289275142517454,54.437647422006954,54.13364064196649
Life expectancy,European Region,Both,25-29 years,Years,2020,53.05267619016139,53.215913305742625,52.87190335140034
Life expectancy,European Region,Both,25-29 years,Years,2021,52.36171156927422,52.591126392914525,52.10917063956943
Life expectancy,European Region,Both,30-34 years,Years,2010,47.57033229593276,47.62026955018943,47.51983837062333
Life expectancy,European Region,Both,30-34 years,Years,2011,48.00801113956076,48.0569446330199,47.95778896308684
Life expectancy,European Region,Both,30-34 years,Years,2012,48.238516974548006,48.29189766598685,48.18426361927533
Life expectancy,European Region,Both,30-34 years,Years,2013,48.4839860274776,48.541133802069865,48.42365286948847
Life expectancy,European Region,Both,30-34 years,Years,2014,48.6220488022086,48.680201198591334,48.56028407256301
Life expectancy,European Region,Both,30-34 years,Years,2015,48.728890823365084,48.786694287111565,48.671405983575774
Life expectancy,European Region,Both,30-34 years,Years,2016,48.9089629181358,48.969780406526276,48.8482471775692
Life expectancy,European Region,Both,30-34 years,Years,2017,49.16898475046878,49.2565714810593,49.073803579449965
Life expectancy,European Region,Both,30-34 years,Years,2018,49.273975135749815,49.39369575351066,49.14481395119076
Life expectancy,European Region,Both,30-34 years,Years,2019,49.48328212489843,49.629325270684234,49.32981390906173
Life expectancy,European Region,Both,30-34 years,Years,2020,48.2482644128199,48.40847536097992,48.07105829567531
Life expectancy,European Region,Both,30-34 years,Years,2021,47.56080471061894,47.78723557957577,47.31282503541489
Life expectancy,European Region,Both,35-39 years,Years,2010,42.92556775685712,42.97431813963398,42.87605113721789
Life expectancy,European Region,Both,35-39 years,Years,2011,43.34736635372435,43.395588023333254,43.2982933626476
Life expectancy,European Region,Both,35-39 years,Years,2012,43.56877124751535,43.62084471515605,43.515737754892115
Life expectancy,European Region,Both,35-39 years,Years,2013,43.80813349929726,43.86416812254961,43.74894545746722
Life expectancy,European Region,Both,35-39 years,Years,2014,43.94289723457683,43.999973329074614,43.88230702297561
Life expectancy,European Region,Both,35-39 years,Years,2015,44.03316736992072,44.08978654176039,43.97677982977712
Life expectancy,European Region,Both,35-39 years,Years,2016,44.19991982509319,44.25960911750162,44.140085078660775
Life expectancy,European Region,Both,35-39 years,Years,2017,44.44565929902692,44.531696227957596,44.352304072333276
Life expectancy,European Region,Both,35-39 years,Years,2018,44.54623577886056,44.66335438351299,44.420342620915626
Life expectancy,European Region,Both,35-39 years,Years,2019,44.7502716671497,44.89285639843379,44.60028078541781
Life expectancy,European Region,Both,35-39 years,Years,2020,43.52510757520539,43.68130541667173,43.35228389681259
Life expectancy,European Region,Both,35-39 years,Years,2021,42.851435638917174,43.071561758763174,42.60951777517689
Life expectancy,European Region,Both,40-44 years,Years,2010,38.32839364871807,38.375597692533056,38.28019213550894
Life expectancy,European Region,Both,40-44 years,Years,2011,38.735605876097985,38.782779732786594,38.687687672295404
Life expectancy,European Region,Both,40-44 years,Years,2012,38.951045562867755,39.00183738361423,38.899342573804674
Life expectancy,European Region,Both,40-44 years,Years,2013,39.1883878479283,39.242805431913744,39.130397051598926
Life expectancy,European Region,Both,40-44 years,Years,2014,39.325909395288164,39.38164292244579,39.266950364200696
Life expectancy,European Region,Both,40-44 years,Years,2015,39.40576750758635,39.461417595297696,39.35093659515317
Life expectancy,European Region,Both,40-44 years,Years,2016,39.56206759718626,39.62034645871642,39.50394953358468
Life expectancy,European Region,Both,40-44 years,Years,2017,39.79485990729368,39.87874278259554,39.70478633601313
Life expectancy,European Region,Both,40-44 years,Years,2018,39.89376213719375,40.008211378929694,39.772416338301184
Life expectancy,European Region,Both,40-44 years,Years,2019,40.09445971702559,40.232017177014825,39.94961895594018
Life expectancy,European Region,Both,40-44 years,Years,2020,38.887610426565466,39.038715810002444,38.720700878579315
Life expectancy,European Region,Both,40-44 years,Years,2021,38.23428431540305,38.44371388457364,38.00115486965729
Life expectancy,European Region,Both,45-49 years,Years,2010,33.80900448501587,33.854323386303236,33.76260571244651
Life expectancy,European Region,Both,45-49 years,Years,2011,34.19299713602122,34.23846521876699,34.14643975805373
Life expectancy,European Region,Both,45-49 years,Years,2012,34.3973512863601,34.44621858880878,34.347561719801874
Life expectancy,European Region,Both,45-49 years,Years,2013,34.62975340027397,34.682096998785575,34.57365603182944
Life expectancy,European Region,Both,45-49 years,Years,2014,34.77078968721338,34.82471470637531,34.71413243334063
Life expectancy,European Region,Both,45-49 years,Years,2015,34.84518783110364,34.899247703012335,34.79226748243287
Life expectancy,European Region,Both,45-49 years,Years,2016,34.99543344815291,35.05173756802823,34.93952801672684
Life expectancy,European Region,Both,45-49 years,Years,2017,35.216496708109815,35.29742634784429,35.130906746700454
Life expectancy,European Region,Both,45-49 years,Years,2018,35.31718440368278,35.427210599033494,35.20175573114484
Life expectancy,European Region,Both,45-49 years,Years,2019,35.51520511536919,35.64617218306499,35.376971238435296
Life expectancy,European Region,Both,45-49 years,Years,2020,34.34293317896623,34.486815780960484,34.18397456995835
Life expectancy,European Region,Both,45-49 years,Years,2021,33.71983738252008,33.91606930781892,33.49868104485684
Life expectancy,European Region,Both,50-54 years,Years,2010,29.462611118518563,29.50525971966132,29.41862539227677
Life expectancy,European Region,Both,50-54 years,Years,2011,29.80340518946776,29.84624893690263,29.759592851349247
Life expectancy,European Region,Both,50-54 years,Years,2012,29.981392682753476,30.027186312551198,29.934386198774625
Life expectancy,European Region,Both,50-54 years,Years,2013,30.193848771545373,30.24329665244729,30.140786407212275
Life expectancy,European Region,Both,50-54 years,Years,2014,30.326551907747515,30.377739727426434,30.273069296996955
Life expectancy,European Region,Both,50-54 years,Years,2015,30.389782063373286,30.440662871519585,30.33923337882416
Life expectancy,European Region,Both,50-54 years,Years,2016,30.53021664979394,30.583543212279295,30.476730821115535
Life expectancy,European Region,Both,50-54 years,Years,2017,30.738344530671593,30.815052234107853,30.657725499868256
Life expectancy,European Region,Both,50-54 years,Years,2018,30.83963121726236,30.943034751313863,30.731807696575675
Life expectancy,European Region,Both,50-54 years,Years,2019,31.03521134394618,31.15824937025259,30.904939511609903
Life expectancy,European Region,Both,50-54 years,Years,2020,29.907756111985385,30.042185939377614,29.75928470892526
Life expectancy,European Region,Both,50-54 years,Years,2021,29.319939992998272,29.503520094029717,29.114064361265328
Life expectancy,European Region,Both,55-59 years,Years,2010,25.348020797862613,25.3876302261121,25.307169524149362
Life expectancy,European Region,Both,55-59 years,Years,2011,25.644981517815715,25.684693985103316,25.60448900031919
Life expectancy,European Region,Both,55-59 years,Years,2012,25.7943203063133,25.83656908262143,25.750894962041947
Life expectancy,European Region,Both,55-59 years,Years,2013,25.9802281079354,26.026033798514728,25.93108347224053
Life expectancy,European Region,Both,55-59 years,Years,2014,26.096604795328933,26.144211225460726,26.04738459633923
Life expectancy,European Region,Both,55-59 years,Years,2015,26.134346368165332,26.181136680874687,26.08746887701684
Life expectancy,European Region,Both,55-59 years,Years,2016,26.250773266536694,26.299768652901086,26.201339261355706
Life expectancy,European Region,Both,55-59 years,Years,2017,26.4299659633697,26.500682450799534,26.356463724442644
Life expectancy,European Region,Both,55-59 years,Years,2018,26.52177435764531,26.61444215123922,26.423642563619502
Life expectancy,European Region,Both,55-59 years,Years,2019,26.70605932846172,26.820595866169626,26.586635731805977
Life expectancy,European Region,Both,55-59 years,Years,2020,25.626686618586408,25.750711944848774,25.490080783682753
Life expectancy,European Region,Both,55-59 years,Years,2021,25.073300463956286,25.24070498256406,24.887206516050657
Life expectancy,European Region,Both,60-64 years,Years,2010,21.456452889917866,21.49111564481813,21.419565577119275
Life expectancy,European Region,Both,60-64 years,Years,2011,21.712373134810985,21.74791378028169,21.67615084723706
Life expectancy,European Region,Both,60-64 years,Years,2012,21.83645923572186,21.874457223634995,21.797401510625125
Life expectancy,European Region,Both,60-64 years,Years,2013,22.0000931812164,22.040432365564854,21.956301314300894
Life expectancy,European Region,Both,60-64 years,Years,2014,22.107599985298656,22.149606992612867,22.063832097173496
Life expectancy,European Region,Both,60-64 years,Years,2015,22.126141223416354,22.167674550669226,22.084364897633048
Life expectancy,European Region,Both,60-64 years,Years,2016,22.22387410188704,22.267370122478535,22.179844269068102
Life expectancy,European Region,Both,60-64 years,Years,2017,22.373818475688363,22.43725226459963,22.307553157555773
Life expectancy,European Region,Both,60-64 years,Years,2018,22.455298391197555,22.536896565820097,22.370519845715595
Life expectancy,European Region,Both,60-64 years,Years,2019,22.617556101187482,22.71657447457431,22.51141881156056
Life expectancy,European Region,Both,60-64 years,Years,2020,21.59091860458547,21.699200003839266,21.470816904516177
Life expectancy,European Region,Both,60-64 years,Years,2021,21.075494628385126,21.224522876836986,20.9106281781068
Life expectancy,European Region,Both,65-69 years,Years,2010,17.739509000507947,17.769892655958813,17.707130649032546
Life expectancy,European Region,Both,65-69 years,Years,2011,17.986989534590922,18.017931755242664,17.95518659583881
Life expectancy,European Region,Both,65-69 years,Years,2012,18.105843346365404,18.138970886033366,18.071051925230655
Life expectancy,European Region,Both,65-69 years,Years,2013,18.26229170013611,18.296888399449095,18.22473318990022
Life expectancy,European Region,Both,65-69 years,Years,2014,18.368269660911395,18.404900300546384,18.329139771251587
Life expectancy,European Region,Both,65-69 years,Years,2015,18.377566597968663,18.413699279927354,18.341273707972874
Life expectancy,European Region,Both,65-69 years,Years,2016,18.464642892076142,18.50287045768933,18.426014494315453
